/home/lucas-junges/Documents/clientes/w&co/main_server.py:24: DeprecationWarning: websockets.server.WebSocketServerProtocol is deprecated
  from websockets.server import WebSocketServerProtocol
2025-11-07 23:57:29,396 - __main__ - INFO - ================================================================================
2025-11-07 23:57:29,396 - __main__ - INFO - NEOCOUDE-HD-15 HMI SERVER
2025-11-07 23:57:29,396 - __main__ - INFO - ================================================================================
2025-11-07 23:57:29,396 - __main__ - INFO - Running in LIVE MODE (PLC on /dev/ttyUSB0)
2025-11-07 23:57:29,396 - modbus_client - INFO - Modbus client initialized in LIVE MODE: /dev/ttyUSB0 @ 57600
2025-11-07 23:57:29,397 - __main__ - INFO - Starting HMI server on ws://localhost:8080
2025-11-07 23:57:29,397 - state_manager - INFO - Starting state manager (poll interval: 0.25s)
2025-11-07 23:57:29,399 - modbus_client - INFO - Connected to PLC on /dev/ttyUSB0
2025-11-07 23:57:29,419 - modbus_client - ERROR - Error reading register 6536: ExceptionResponse(dev_id=1, function_code=160, exception_code=1)
2025-11-07 23:57:29,421 - state_manager - INFO - Poll loop started
2025-11-07 23:57:29,423 - websockets.server - INFO - server listening on 127.0.0.1:8080
2025-11-07 23:57:29,423 - __main__ - INFO - ✓ HMI server running on ws://localhost:8080
2025-11-07 23:57:29,434 - modbus_client - ERROR - Error reading register 1238: ExceptionResponse(dev_id=1, function_code=160, exception_code=1)
2025-11-07 23:57:29,450 - modbus_client - ERROR - Error reading register 1239: ExceptionResponse(dev_id=1, function_code=160, exception_code=1)
2025-11-07 23:57:29,465 - modbus_client - ERROR - Error reading coil 256: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,479 - modbus_client - ERROR - Error reading coil 257: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,495 - modbus_client - ERROR - Error reading coil 258: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,517 - modbus_client - ERROR - Error reading coil 259: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,540 - modbus_client - ERROR - Error reading coil 260: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,555 - modbus_client - ERROR - Error reading coil 261: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,577 - modbus_client - ERROR - Error reading coil 262: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,600 - modbus_client - ERROR - Error reading coil 263: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,615 - modbus_client - ERROR - Error reading coil 384: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,630 - modbus_client - ERROR - Error reading coil 385: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,645 - modbus_client - ERROR - Error reading coil 386: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,660 - modbus_client - ERROR - Error reading coil 387: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,675 - modbus_client - ERROR - Error reading coil 388: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,691 - modbus_client - ERROR - Error reading coil 389: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,706 - modbus_client - ERROR - Error reading coil 390: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,728 - modbus_client - ERROR - Error reading coil 391: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,751 - modbus_client - ERROR - Error reading register 2112: ExceptionResponse(dev_id=1, function_code=160, exception_code=1)
2025-11-07 23:57:29,766 - modbus_client - ERROR - Error reading register 2114: ExceptionResponse(dev_id=1, function_code=160, exception_code=1)
2025-11-07 23:57:29,780 - modbus_client - ERROR - Error reading register 2118: ExceptionResponse(dev_id=1, function_code=160, exception_code=1)
2025-11-07 23:57:29,795 - modbus_client - ERROR - Error reading register 2120: ExceptionResponse(dev_id=1, function_code=160, exception_code=1)
2025-11-07 23:57:29,810 - modbus_client - ERROR - Error reading register 2128: ExceptionResponse(dev_id=1, function_code=160, exception_code=1)
2025-11-07 23:57:29,826 - modbus_client - ERROR - Error reading register 2130: ExceptionResponse(dev_id=1, function_code=160, exception_code=1)
2025-11-07 23:57:29,841 - modbus_client - ERROR - Error reading coil 768: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,856 - modbus_client - ERROR - Error reading coil 769: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,871 - modbus_client - ERROR - Error reading coil 770: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,887 - modbus_client - ERROR - Error reading coil 771: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,908 - modbus_client - ERROR - Error reading coil 772: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,931 - modbus_client - ERROR - Error reading coil 773: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
2025-11-07 23:57:29,953 - modbus_client - ERROR - Error reading coil 776: ExceptionResponse(dev_id=1, function_code=192, exception_code=1)
